"division_numeric_code","start_date","end_date","is_in_union","age_range","data_series_type","group_type_relative_to_baseline","contraceptive_use_modern","contraceptive_use_traditional","contraceptive_use_any","unmet_need_modern","unmet_need_any","is_pertaining_to_methods_used_since_last_pregnancy","pertaining_to_methods_used_since_last_pregnancy_reason","has_geographical_region_bias","geographical_region_bias_reason","has_non_pregnant_and_other_positive_biases","non_pregnant_and_other_positive_biases_reason","age_group_bias","modern_method_bias","has_traditional_method_bias","traditional_method_bias_reason","has_absence_of_probing_questions_bias","se_modern","se_traditional","se_unmet_need","se_log_r_modern_no_use","se_log_r_traditional_no_use","se_log_r_unmet_no_need","source_id","record_id","region_code","possible_outlier","possible_outlier_userinput"
4,1972,1974.99726,"Y","15-49","National survey","EM",0.016,,0.016,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"160","Y_656",,1,
4,2000.415301,2000.830601,"Y","15-49","MICS","MW",0.036,0.012,0.053,,,"N",,"Y","Data pertain to Nangarhar, Konar and Laghman, Ghazni, Paktika and Paktya, Logar and Wardak provinces.","N","","?","None","N","","Y",,,,,,,"2893","Y_1113",,1,
4,2003.413699,2003.578082,"Y","15-49","MICS","MW",0.087,0.016,0.103,,,"N",,"N","","N","","?","None","N","","Y",,,,,,,"1925","Y_893",,1,
4,2005.413699,2005.663014,"Y","15-49","National survey","MW",0.125,0.011,0.136,,,"N",,"N","","N","","?","None","N","","Y",,,,,,,"4368","Y_1243",,1,
4,2006.70411,2006.912329,"Y","15-49","National survey","MW",0.175,0.011,0.186,,,"N",,"Y","Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.","N","","?","None","N","","Y",,,,,,,"4369","Y_1244",,1,
4,2007.619178,2008.663934,"Y","15-49","National survey","MW",0.152,0.076,0.228,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"4465","Y_1250",,1,
4,2010.246575,2010.99726,"Y","15-49","National survey","MW",0.199,0.019,0.218,,,"N",,"Y","Excluding areas in the South zone.","N","","None","None","N","","N",,,,,,,"5045","Y_1381",,1,
4,2010.747945,2011.410959,"Y","15-49","MICS","MW",0.2020822583,0.01031284138,0.2123950997,,,"N",,"N","","N","","None","None","N","","Y",0.006912198,0.001169834,0,0.043237573,0.116610939,,"4983","Y_1340",,1,
4,2012.581967,2012.997268,"Y","15-49","National survey","MW",0.138,,,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"7515","Y_1830",,1,
4,2015.413699,2016.161202,"Y","15-49","DHS","MW",0.197840789,0.02686428767,0.2247050767,,0.244653465,"N",,"N","","N","","None","None","N","","N",0.006802585,0.002147634,0.005415976,0.043837429,0.08503315,0.030762159,"5689","Y_1600",,0,
4,2015.49589,2015.99726,"Y","15-49","National survey","MW",0.163,,,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"7507","Y_1822",,1,
4,2018.161644,2018.912329,"Y","15-49","National survey","EM",,,0.189,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"7734","Y_1913",,1,
8,2000.415301,2000.513661,"Y","15-49","MICS","MW",0.1745935432,0.400857436,0.5754509792,,,"N",,"N","","N","","None","None","N","","N",0.010513019,0.01819887,0,0.088144344,0.087388811,,"1943","Y_910",,1,
8,2002.580822,2002.99726,"Y","15-49","Other","MW",0.08,0.671,0.751,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"1681","Y_674",,1,
8,2005.747945,2005.912329,"Y","15-49","MICS","MW",0.2482815703,0.3529453016,0.6012268719,,,"N",,"N","","N","","None","None","N","","N",0.013524941,0.017002711,0,0.083135069,0.084929219,,"1906","Y_877",,1,
8,2008.748634,2009.326027,"Y","15-49","DHS","MW",0.1062799053,0.5870525169,0.6933324221,,0.12863141,"N",,"N","","N","","None","None","N","","N",0.005968363,0.012729963,0.00776014,0.080172409,0.063049145,0.072929847,"4483","Y_1251",,0,
